@format=row	BXD63	BXD45	BXD32	BXD39	DBA/2J	BXD90	BXD24	BXD95	BXD73	BXD55	BXD100	C57BL/6J	BXD102	BXD91	BXD29	BXD89	BXD73b	BXD75	BXD87	BXD34	BXD48	BXD9	BXD65	BXD70	BXD43	BXD44	BXD61	BXD65b	BXD50	BXD68	BXD77	BXD101	B6D2F1	BXD62	D2B6F1	BXD48a	BXD79	BXD69
X5b.Cholestane.3a.7a.12a.23R.25.pentol	4944.0	4207.25	1862.0	1768.0	2493.0	2700.0	2171.5	3939.0	2235.5	3433.75	2311.25	2690.1	2175.3	2976.25	2937.75	4746.0	3879.214285714286	5568.5	2261.5	2907.0	3791.5	2629.25	2608.0	3134.25	2824.75	3540.0	2692.7	3363.5	2980.5	3045.25	3692.0	3139.5	2615.9285714285716	4663.666666666667	2767.0	3482.6666666666665	4678.0	4422.0
X3.17.Androstanediol.glucuronide	1435.5	1859.0	1564.0	1537.5	2112.0	1973.0	1436.5	2411.5	1742.0	3367.25	1818.75	1853.5	1982.5	1480.5	1900.0	2225.8333333333335	1743.357142857143	3208.0	1974.0	1641.5	1962.6666666666667	1892.25	1676.0	2260.5	2006.0	2419.5	2196.5	2006.8333333333333	2350.5	2242.0	2096.6666666666665	1830.3333333333333	2642.214285714286	2481.3333333333335	2119.375	2213.25	2470.5	2539.5
X5.Methyltetrahydrofolic.acid	867.5	1010.5	1000.5	1038.0	3145.5	2337.5	1261.5	1390.75	1973.0	3302.5	3218.25	1206.7	3029.6	978.5	2369.125	1187.8333333333333	1374.7142857142858	2090.0	1375.5	1036.5	1455.5	4001.5	1286.0	2006.375	1231.75	3221.5	1392.9	1737.3333333333333	3019.5	1780.0	1204.1666666666667	1331.5	2503.6428571428573	1197.6666666666667	1823.125	1831.0	1603.0	1194.5
Docosa.4.7.10.13.16.pentaenoyl.carnitine	3708.0	987.75	1167.0	1228.0	1351.5	1686.25	1441.5	2076.5	704.5	3287.0	1409.5	1302.9	1095.7	1348.25	1639.5	2545.6666666666665	1949.0	2045.0	1485.0	1455.5	1372.0	1646.75	2174.5	1682.625	1930.75	1171.5	1195.9	1693.8333333333333	1054.0	2093.0	1352.1666666666667	2615.3333333333335	1553.857142857143	2726.8333333333335	1467.75	1683.0	3181.0	3333.0
Taurocholic.acid	15548079.5	19651144.25	8242061.5	11845351.5	23635214.0	21585163.0	9401551.0	30550334.0	4641858.0	14775787.5	21517143.75	12748883.7	16019121.6	11759468.5	21161859.875	25774122.333333332	22774354.57142857	31919487.0	29656299.0	17865057.25	25991915.333333332	19422651.75	8538147.5	16041795.0	19430773.75	27994106.0	22890005.8	26109718.0	20547616.0	18176881.5	21261514.5	25504779.0	17885045.92857143	20861674.333333332	13035959.125	22102874.666666668	11392665.5	21521681.0
Poly.g.D.glutamate	2741.0	65185.75	1694.0	2025.0	6229.5	5525.375	2173.5	65455.0	1559.0	3503.25	8889.875	2660.6	3404.1	2003.0	13713.75	20601.333333333332	15615.57142857143	30140.5	26543.5	3573.75	25119.166666666668	5491.75	2458.0	4187.5	5807.0	30946.5	42622.8	25564.833333333332	4373.5	2856.25	11055.666666666666	13585.5	9498.714285714286	6945.833333333333	2586.0	5633.0	2737.5	3989.5
Arachidonyl.carnitine	1486.0	924.5	418.0	489.5	743.5	604.5	447.0	999.0	693.0	986.5	516.5	497.7	542.1	459.75	663.0	789.0	658.1428571428571	1363.0	653.5	505.5	663.1666666666666	532.75	646.0	738.0	639.75	1212.5	996.8	797.3333333333334	695.0	692.25	620.8333333333334	677.5	695.5	732.5	642.75	756.3333333333334	818.5	954.0
LysoPE.0.0.22.6.4Z.7Z.10Z.13Z.16Z.19Z..	5580.0	22574.25	15417.5	9693.0	13702.5	20702.625	30422.5	18735.25	3061.5	47841.25	16900.625	49790.5	10965.5	24853.75	67760.25	34788.0	53544.42857142857	45042.5	34866.0	45058.75	20408.833333333332	10308.25	41141.0	25386.0	26959.0	11914.5	38223.7	27956.833333333332	7929.0	39283.0	31990.0	78875.83333333333	40815.21428571428	84160.66666666667	42626.375	47592.5	80064.0	48796.0
LysoPhosphatidylcholine..18.2.9Z.12Z..	5795.0	22386.75	10946.0	10321.0	9853.0	8307.625	10958.0	12703.5	4146.5	9963.5	16207.5	20928.2	10295.4	7878.0	12120.875	27275.166666666668	15277.142857142857	17937.5	16160.0	11919.5	13505.833333333334	10612.75	10401.0	10005.0	15377.5	12600.0	27660.5	17648.0	9821.0	8521.5	15044.333333333334	21661.333333333332	11248.214285714286	20419.5	11729.5	15056.333333333334	16391.0	12532.0
Lysophospholipid.with.formula.C26H54NO7P	3864.5	13027.75	6599.0	7341.0	8304.0	7471.25	6487.0	7953.75	3909.0	9060.25	13290.5	12464.3	7073.4	8769.25	9807.625	13579.5	12076.714285714286	12475.5	9821.0	7911.0	9385.833333333334	9787.25	6828.0	9147.5	9546.0	9909.5	14292.4	10408.166666666666	9942.5	7682.75	9876.0	13842.666666666666	9953.42857142857	13092.333333333334	9812.5	11083.25	15700.5	10854.0
