@format=row	D2B6F1	BXD48	BXD44	BXD51	BXD86	BXD77	BXD9	BXD65	BXD60	BXD50	BXD40	BXD43	BXD24	BXD89	BXD63	BXD45	BXD69	BXD64	BXD27	BXD95	BXD102	BXD34	BXD100	BXD70	BXD101	DBA/2J	BXD84	BXD62	BXD65b	BXD87	BXD98	C57BL/6J	B6D2F1	BXD73b	BXD29	BXD32	BXD48a	BXD90	BXD61	BXD79	BXD66
Pseudooxynicotine	3401.75	5333.5	1382.0	1276.75	1405.75	1313.3333333333333	1378.0	1454.0	1323.75	1347.0	1319.0	1218.0	3713.0	1401.5	1409.0	1442.0	1164.75	1335.75	1948.75	1452.5	1482.25	1663.5	1060.25	1743.5	1225.3333333333333	2168.8333333333335	1441.5	1298.75	1292.625	1462.5	1573.0	1543.0	1380.0	1045.5	1399.875	1460.25	1276.375	1399.3333333333333	1446.75	1255.5	2249.5
D.Glucose	296871.25	139216.0	364391.5	380832.25	256238.25	375400.3333333333	323938.0	281478.5	296097.0	228756.5	317596.0	317877.6666666667	114321.5	374626.0	309333.5	248964.5	317682.25	247056.0	264644.25	298364.25	331043.375	299218.0	319735.75	271933.5	345732.5	365051.3333333333	363622.75	294074.25	265113.875	340633.25	352141.0	312713.0	337197.5833333333	234206.0	323117.125	299705.75	255036.25	293346.3333333333	282997.0	378066.6666666667	261488.25
L.Tyrosine	86315.625	1289507.5	90834.0	71707.5	60197.75	57226.833333333336	49876.0	81019.75	58236.25	84428.0	86277.5	69058.66666666667	18816.5	97061.25	97647.5	50654.0	72711.25	69366.75	73357.0	48848.25	81200.0	58617.5	69715.75	79128.5	79552.33333333333	90387.33333333333	104215.0	61209.5	73910.0	75637.5	64307.25	62824.6	86269.25	66950.75	86583.75	57835.375	62005.75	67414.16666666667	59048.5	60258.333333333336	71155.25
Sorbitol	29085.875	128363.0	33361.5	29593.0	30368.0	27492.666666666668	25957.0	42808.5	29662.75	28627.0	43719.5	33516.5	14919.5	29822.25	36525.5	25738.5	23690.25	27799.5	31994.0	31720.75	41432.75	29850.5	23220.25	84953.5	38322.333333333336	30464.0	30377.75	28249.25	27290.375	34668.0	29691.75	33938.9	40324.333333333336	28245.0	38047.0	25309.5	24946.75	29244.5	28952.0	22289.333333333332	38395.5
Phosphorylcholine	2826.625	9032.5	3732.0	2336.5	2575.25	2488.1666666666665	2284.5	2418.75	2656.25	2202.0	2910.0	2397.5	5223.5	2320.5	2582.0	1978.0	2056.25	2063.75	3647.0	2585.25	3639.75	3701.0	3255.75	2534.0	2093.8333333333335	4336.166666666667	2400.25	2438.75	2024.375	2842.75	3106.25	2814.8	2614.5	2401.5	2247.75	2743.875	2334.5	2008.5	2265.25	2078.3333333333335	6326.0
Phosphoserine	45411.75	164231.5	81517.5	59880.5	37867.75	41542.333333333336	34207.0	77780.5	56473.0	36061.0	83036.5	52329.666666666664	45900.5	51890.25	46257.0	74302.0	40579.75	55490.25	47682.0	53689.5	64051.125	49785.5	61008.0	59564.5	60555.833333333336	78938.16666666667	53298.75	74987.25	69298.875	62237.0	53093.25	79732.3	50905.416666666664	59996.5	59554.375	38811.375	55880.375	46898.333333333336	61960.75	88715.5	42066.25
Pseudoecgonine	1384.125	26610.0	1743.0	2250.0	1215.5	1256.3333333333333	1226.25	1976.75	1502.5	992.0	1803.5	2109.0	10549.0	1693.25	5226.5	1340.5	1432.25	1372.5	1371.0	1185.75	1737.0	1799.5	1703.5	1410.5	1736.8333333333333	2233.3333333333335	2020.0	2423.75	1312.5	1838.0	2857.75	1832.7	2027.9166666666667	2195.25	1997.625	1724.125	2730.75	1716.3333333333333	1417.25	1174.0	2244.0
X3.Oxodecanoic.acid	5085.875	23737.5	6319.0	4793.5	4756.25	3840.1666666666665	5144.25	4720.0	5601.25	4694.5	5649.5	4714.0	7923.0	5064.25	5294.5	3785.0	5817.75	4442.75	6293.0	5236.5	5528.375	6874.0	4362.75	6476.0	4249.166666666667	6314.5	5512.0	4838.0	3459.5	5381.0	5460.75	7509.4	5291.916666666667	4635.75	5496.875	4228.75	10972.0	5237.666666666667	4678.5	4328.5	27427.25
X4.6.Dimethylnonanoic.acid	5155.125	3278.0	6629.0	3922.25	4685.75	4595.666666666667	5314.0	4680.5	6292.5	5296.5	5260.5	4156.833333333333	1910.0	4673.0	4059.0	3491.5	5418.25	4136.25	6677.5	4848.75	5119.125	5655.5	3673.25	7625.5	3799.6666666666665	4638.666666666667	5233.0	4296.75	3235.875	4774.5	4620.5	6235.4	6200.083333333333	3717.0	7640.0	3773.875	6450.375	4382.833333333333	5077.25	4330.0	10334.75
X2.Keto.6.acetamidocaproate	1574.75	61200.5	1105.5	1536.75	1810.0	1232.6666666666667	1145.25	1467.25	1116.75	1158.5	1313.0	1460.0	10274.0	1405.25	1870.5	1929.0	1704.75	1582.0	1220.0	1423.5	1739.0	1444.0	2242.5	1732.0	1706.0	1825.1666666666667	2089.5	2152.25	1640.5	2028.25	2116.75	1956.1	1629.75	1834.75	1737.875	1738.5	1821.75	1757.1666666666667	1663.5	1878.8333333333333	2842.0
